id,seed,starting_age,race,sex,insurance,place
50,47042,40,NHW,M,Y,IHS
51,399820,40,NHW,M,Y,IHS
52,987508,40,NHW,M,Y,OHS
53,265836,40,NHW,F,Y,IHS
54,669691,40,NHW,M,Y,IHS
55,406994,40,NHW,F,Y,IHS
56,797711,40,NHW,F,Y,OHS
57,68852,40,NHB,F,Y,IHS
58,977352,40,NHW,M,Y,IHS
59,126781,40,NHW,F,Y,IHS
60,991723,40,NHW,M,Y,IHS
61,612972,40,NHW,F,Y,OHS
62,593839,40,NHW,F,Y,IHS
63,88989,40,NHB,F,Y,IHS
64,625746,40,NHB,F,Y,IHS
65,123736,40,NHW,F,Y,IHS
66,911118,40,NHW,M,Y,IHS
67,102517,40,NHW,F,Y,IHS
68,684641,40,NHW,M,Y,IHS
69,748429,40,NHW,F,Y,IHS
70,31742,40,NHB,F,Y,IHS
71,180850,40,NHB,F,Y,IHS
72,134112,40,NHW,F,Y,IHS
73,270310,40,NHW,M,Y,IHS
74,224928,40,NHW,F,Y,IHS
75,8954,40,NHW,M,Y,IHS
76,291837,40,NHW,M,Y,IHS
77,585306,40,NHW,M,Y,IHS
78,271445,40,NHW,F,Y,OHS
79,363025,40,NHW,M,Y,IHS
80,880682,40,NHB,F,N,OHS
81,114505,40,NHW,M,Y,IHS
82,440557,40,NHW,F,N,IHS
83,327495,40,NHW,F,Y,OHS
84,634809,40,NHB,F,N,IHS
85,611415,40,NHB,F,Y,IHS
86,876461,40,NHW,F,Y,IHS
87,459739,40,NHW,F,Y,IHS
88,125908,40,NHW,M,Y,IHS
89,477488,40,NHW,F,N,OHS
90,751282,40,NHW,M,Y,IHS
91,660499,40,NHW,F,Y,IHS
92,943702,40,NHW,M,N,IHS
93,337583,40,NHW,M,Y,IHS
94,543203,40,NHW,F,Y,IHS
95,159526,40,NHW,F,Y,IHS
96,521582,40,NHW,F,Y,IHS
97,334631,40,NHW,M,Y,IHS
98,585864,40,NHB,M,Y,IHS
99,68581,40,NHW,M,Y,OHS
100,853700,40,NHW,M,Y,IHS
101,114566,40,NHW,F,Y,IHS
102,837359,40,NHW,F,Y,IHS
103,739888,40,NHW,F,Y,IHS
104,527351,40,NHB,F,Y,IHS
105,43253,40,NHB,F,Y,IHS
106,108919,40,NHW,M,Y,IHS
107,58032,40,NHW,F,Y,OHS
108,975760,40,NHB,F,Y,IHS
109,917515,40,NHW,F,Y,IHS
110,593181,40,NHW,F,Y,IHS
111,611333,40,NHW,M,Y,IHS
112,264275,40,NHW,F,Y,IHS
113,626792,40,NHB,F,Y,OHS
114,928090,40,NHW,M,Y,OHS
115,379192,40,NHW,F,Y,IHS
116,406764,40,NHW,F,Y,OHS
117,637263,40,NHB,M,N,IHS
118,690840,40,NHW,M,Y,IHS
119,690611,40,NHW,M,Y,IHS
120,285434,40,NHW,M,Y,IHS
121,770623,40,NHW,F,Y,OHS
122,509112,40,NHB,F,Y,IHS
123,158037,40,NHW,M,Y,OHS
124,175361,40,NHW,M,Y,IHS
125,699002,40,NHW,F,Y,IHS
126,749923,40,NHW,M,Y,IHS
127,998138,40,NHW,M,Y,IHS
128,700763,40,NHW,F,Y,IHS
129,305570,40,NHW,M,Y,IHS
130,290675,40,NHW,M,Y,IHS
131,701818,40,NHW,M,Y,IHS
132,720370,40,NHB,M,Y,IHS
133,131016,40,NHW,F,Y,IHS
134,145528,40,NHW,M,Y,IHS
135,624616,40,NHB,M,Y,IHS
136,390610,40,NHB,M,Y,IHS
137,846075,40,NHW,M,Y,IHS
138,371125,40,NHW,F,Y,IHS
139,829889,40,NHW,M,Y,IHS
140,676310,40,NHB,M,Y,IHS
141,921973,40,NHW,F,Y,IHS
142,43882,40,NHW,M,Y,IHS
143,269939,40,NHB,M,Y,IHS
144,324010,40,NHW,M,Y,IHS
145,23554,40,NHB,M,Y,OHS
146,443535,40,NHW,F,Y,IHS
147,889604,40,NHW,M,Y,IHS
148,321311,40,NHB,F,Y,IHS
149,450957,40,NHW,F,Y,IHS
150,413686,40,NHW,M,Y,IHS
151,449226,40,NHW,M,Y,IHS
152,449390,40,NHW,M,Y,IHS
153,539412,40,NHW,M,Y,IHS
154,537627,40,NHW,F,Y,IHS
155,379873,40,NHW,F,Y,IHS
156,638021,40,NHW,F,Y,IHS
157,984956,40,NHW,F,Y,IHS
158,253925,40,NHW,M,Y,IHS
159,18241,40,NHW,M,Y,IHS
160,860311,40,NHW,F,Y,IHS
161,803257,40,NHW,M,Y,IHS
162,499669,40,NHW,F,Y,IHS
163,753801,40,NHW,F,Y,IHS
164,949933,40,NHW,F,N,IHS
165,918258,40,NHW,F,Y,IHS
166,12185,40,NHW,M,Y,IHS
167,843743,40,NHW,F,Y,IHS
168,963306,40,NHW,M,Y,IHS
169,776720,40,NHW,F,Y,IHS
170,465737,40,NHW,M,Y,IHS
171,332675,40,NHW,F,N,IHS
172,642449,40,NHW,M,Y,IHS
173,983660,40,NHW,M,Y,IHS
174,349315,40,NHW,M,Y,IHS
175,215795,40,NHW,F,Y,IHS
176,636100,40,NHW,M,Y,IHS
177,184367,40,NHW,F,N,IHS
178,54755,40,NHB,F,Y,IHS
179,849722,40,NHW,M,Y,OHS
180,577976,40,NHW,F,Y,IHS
181,361765,40,NHW,M,Y,IHS
182,507481,40,NHW,M,Y,IHS
183,599714,40,NHB,M,Y,IHS
184,55674,40,NHW,F,Y,OHS
185,920235,40,NHB,F,Y,IHS
186,473603,40,NHW,F,Y,IHS
187,616920,40,NHW,F,Y,IHS
188,991598,40,NHW,M,Y,IHS
189,286933,40,NHB,M,Y,IHS
190,997668,40,NHB,M,N,IHS
191,285459,40,NHW,M,Y,IHS
192,115021,40,NHB,M,N,OHS
193,812998,40,NHW,M,Y,OHS
194,461942,40,NHW,F,Y,OHS
195,622162,40,NHW,M,Y,OHS
196,507401,40,NHW,F,Y,IHS
197,616942,40,NHW,M,Y,IHS
198,69648,40,NHW,M,Y,IHS
199,100117,40,NHW,M,Y,IHS
200,791313,40,NHW,F,Y,OHS
201,953793,40,NHW,F,Y,IHS
202,455230,40,NHW,F,N,OHS
203,718706,40,NHW,F,Y,IHS
204,616289,40,NHW,M,Y,IHS
205,753279,40,NHW,F,Y,IHS
206,223444,40,NHB,F,Y,OHS
207,542258,40,NHB,M,N,IHS
208,759103,40,NHW,F,N,IHS
209,102330,40,NHW,M,Y,IHS
210,799956,40,NHW,M,Y,IHS
211,65180,40,NHW,F,Y,IHS
212,438616,40,NHW,M,Y,IHS
213,206058,40,NHW,F,Y,OHS
214,13220,40,NHW,F,Y,IHS
215,931413,40,NHW,M,Y,IHS
216,699710,40,NHW,M,Y,IHS
217,358941,40,NHW,F,Y,IHS
218,748802,40,NHW,M,Y,OHS
219,562956,40,NHW,M,Y,IHS
220,465599,40,NHB,M,Y,IHS
221,71166,40,NHW,M,Y,IHS
222,926354,40,NHW,M,Y,IHS
223,744735,40,NHW,M,Y,OHS
224,793383,40,NHW,M,Y,IHS
225,466019,40,NHW,F,Y,IHS
226,984986,40,NHB,M,N,OHS
227,320057,40,NHW,M,Y,IHS
228,412136,40,NHW,M,Y,OHS
229,730521,40,NHW,M,Y,IHS
230,796685,40,NHW,M,Y,IHS
231,10701,40,NHW,M,Y,IHS
232,477025,40,NHW,M,Y,IHS
233,7689,40,NHW,F,Y,IHS
234,144688,40,NHW,F,Y,IHS
235,470810,40,NHW,F,Y,IHS
236,183022,40,NHB,F,Y,IHS
237,120598,40,NHW,F,Y,IHS
238,101527,40,NHW,F,Y,IHS
239,917934,40,NHW,F,Y,IHS
240,346644,40,NHW,M,Y,OHS
241,348202,40,NHW,F,Y,IHS
242,941488,40,NHW,F,Y,OHS
243,431013,40,NHB,F,Y,IHS
244,383976,40,NHW,F,Y,IHS
245,321064,40,NHW,M,Y,IHS
246,622482,40,NHW,M,Y,IHS
247,845096,40,NHW,F,Y,IHS
248,647100,40,NHW,F,Y,IHS
249,643283,40,NHW,F,Y,IHS
250,633212,40,NHW,M,Y,IHS
251,596134,40,NHW,F,N,OHS
252,846936,40,NHW,M,Y,OHS
253,569331,40,NHW,M,Y,IHS
254,926247,40,NHW,F,Y,IHS
255,949129,40,NHW,F,Y,OHS
256,997047,40,NHW,F,Y,OHS
257,152210,40,NHB,F,N,OHS
258,107050,40,NHW,F,Y,IHS
259,167216,40,NHW,F,Y,OHS
260,234132,40,NHW,F,Y,IHS
261,322476,40,NHW,M,Y,IHS
262,704429,40,NHW,M,Y,IHS
263,906788,40,NHW,F,Y,IHS
264,756651,40,NHW,F,Y,IHS
265,967061,40,NHW,M,Y,IHS
266,305947,40,NHB,F,N,IHS
267,78170,40,NHB,M,N,IHS
268,59500,40,NHB,F,Y,IHS
269,233368,40,NHW,F,Y,IHS
270,818819,40,NHW,M,Y,IHS
271,965353,40,NHW,M,Y,IHS
272,42562,40,NHW,F,Y,IHS
273,804570,40,NHW,M,Y,OHS
274,245020,40,NHW,M,Y,IHS
275,615375,40,NHW,F,N,OHS
276,642012,40,NHB,M,N,OHS
277,675133,40,NHB,M,Y,IHS
278,435460,40,NHW,F,Y,IHS
279,957104,40,NHB,M,Y,IHS
280,328638,40,NHW,M,Y,OHS
281,403904,40,NHW,F,Y,IHS
282,38945,40,NHW,F,Y,OHS
283,557944,40,NHW,M,Y,IHS
284,63374,40,NHW,F,Y,IHS
285,267577,40,NHW,F,N,OHS
286,539697,40,NHB,F,Y,IHS
287,163434,40,NHW,F,Y,IHS
288,778555,40,NHW,F,Y,IHS
289,675167,40,NHB,M,N,IHS
290,892836,40,NHW,M,Y,IHS
291,247738,40,NHW,F,Y,IHS
292,664893,40,NHB,F,N,OHS
293,31316,40,NHW,F,Y,OHS
294,390650,40,NHW,F,Y,IHS
295,555377,40,NHW,F,Y,IHS
296,422646,40,NHW,F,Y,IHS
297,414346,40,NHW,F,Y,IHS
298,102973,40,NHW,F,Y,IHS
299,753843,40,NHW,M,Y,IHS
300,980788,40,NHB,M,Y,OHS
301,35250,40,NHW,M,N,IHS
302,190571,40,NHW,M,Y,IHS
303,410312,40,NHW,M,Y,IHS
304,25298,40,NHW,F,Y,IHS
305,232709,40,NHB,F,N,OHS
306,523256,40,NHW,F,Y,OHS
307,201732,40,NHW,F,N,OHS
308,551040,40,NHW,M,N,IHS
309,303705,40,NHW,M,Y,IHS
310,202287,40,NHW,M,Y,IHS
311,683615,40,NHW,F,N,IHS
312,417278,40,NHW,M,Y,IHS
313,429488,40,NHW,M,Y,IHS
314,127552,40,NHW,M,Y,IHS
315,860245,40,NHB,M,Y,IHS
316,546822,40,NHW,F,Y,IHS
317,352980,40,NHW,F,Y,IHS
318,50557,40,NHW,F,Y,IHS
319,757321,40,NHW,F,N,OHS
320,668489,40,NHW,M,Y,IHS
321,516544,40,NHW,F,Y,IHS
322,642575,40,NHW,F,Y,IHS
323,575826,40,NHB,F,Y,IHS
324,462564,40,NHW,F,Y,IHS
325,415079,40,NHW,F,Y,IHS
326,580873,40,NHW,F,Y,IHS
327,366634,40,NHW,F,Y,IHS
328,238242,40,NHW,M,Y,IHS
329,248646,40,NHW,M,Y,IHS
330,169689,40,NHW,M,N,OHS
331,351808,40,NHW,F,Y,IHS
332,83822,40,NHW,M,Y,OHS
333,603765,40,NHW,M,Y,IHS
334,560914,40,NHW,M,Y,IHS
335,381951,40,NHW,M,N,OHS
336,650754,40,NHW,F,Y,IHS
337,89090,40,NHW,M,N,IHS
338,554115,40,NHW,F,N,OHS
339,788148,40,NHW,F,Y,IHS
340,936270,40,NHW,F,Y,IHS
341,453301,40,NHW,M,Y,IHS
342,130163,40,NHB,M,Y,IHS
343,88926,40,NHW,F,Y,IHS
344,883343,40,NHW,M,Y,IHS
345,196590,40,NHB,F,N,IHS
346,785646,40,NHW,M,N,IHS
347,416688,40,NHW,F,Y,IHS
348,263372,40,NHW,F,Y,OHS
349,487618,40,NHW,M,Y,OHS
350,124574,40,NHW,M,Y,IHS
351,268810,40,NHW,F,Y,IHS
352,870389,40,NHW,M,Y,IHS
353,748129,40,NHW,F,Y,IHS
354,38225,40,NHW,M,Y,IHS
355,511923,40,NHW,F,Y,OHS
356,965394,40,NHW,M,Y,OHS
357,549920,40,NHW,M,Y,IHS
358,767485,40,NHW,M,N,IHS
359,273248,40,NHB,M,Y,IHS
360,48510,40,NHB,F,Y,IHS
361,138187,40,NHW,M,Y,IHS
362,982511,40,NHW,M,Y,IHS
363,126860,40,NHW,F,N,IHS
364,337315,40,NHW,M,Y,IHS
365,964150,40,NHW,F,Y,IHS
366,111450,40,NHW,M,Y,IHS
367,613849,40,NHW,M,Y,IHS
368,327577,40,NHB,F,Y,IHS
369,99807,40,NHW,M,Y,IHS
370,90080,40,NHW,F,Y,IHS
371,923064,40,NHW,M,Y,IHS
372,369206,40,NHW,F,N,IHS
373,864280,40,NHW,F,Y,IHS
374,331136,40,NHB,M,Y,IHS
375,578747,40,NHW,F,Y,IHS
376,550113,40,NHW,M,Y,IHS
377,536337,40,NHW,F,Y,IHS
378,858887,40,NHW,F,Y,IHS
379,149970,40,NHW,F,Y,IHS
380,764367,40,NHB,F,Y,IHS
381,552890,40,NHB,F,N,IHS
382,427141,40,NHW,F,N,OHS
383,221644,40,NHW,M,Y,IHS
384,286087,40,NHW,F,Y,IHS
385,635608,40,NHB,M,Y,IHS
386,775571,40,NHW,F,Y,IHS
387,709553,40,NHB,M,Y,IHS
388,537512,40,NHB,M,N,IHS
389,937105,40,NHW,F,Y,IHS
390,270307,40,NHW,M,Y,IHS
391,881225,40,NHW,M,Y,OHS
392,123055,40,NHB,M,Y,IHS
393,144949,40,NHW,F,Y,IHS
394,375209,40,NHW,F,Y,IHS
395,206068,40,NHB,F,Y,IHS
396,150446,40,NHB,M,Y,IHS
397,399107,40,NHW,M,Y,IHS
398,132797,40,NHW,M,Y,IHS
399,338709,40,NHW,F,Y,IHS
400,459368,40,NHB,M,Y,IHS
401,549336,40,NHW,F,Y,IHS
402,370172,40,NHW,M,Y,IHS
403,681805,40,NHW,F,Y,IHS
404,938811,40,NHB,F,N,OHS
405,805249,40,NHW,F,Y,IHS
406,322091,40,NHW,M,Y,IHS
407,331666,40,NHW,M,Y,IHS
408,846002,40,NHB,F,Y,IHS
409,888849,40,NHW,M,Y,IHS
410,250801,40,NHW,M,Y,IHS
411,297041,40,NHW,M,Y,IHS
412,342866,40,NHW,F,Y,IHS
413,703949,40,NHB,M,Y,IHS
414,369504,40,NHW,M,Y,OHS
415,727019,40,NHW,M,Y,OHS
416,453824,40,NHW,M,Y,IHS
417,569906,40,NHW,M,Y,IHS
418,228880,40,NHW,M,Y,IHS
419,858778,40,NHW,M,Y,IHS
420,642517,40,NHW,F,Y,IHS
421,121706,40,NHW,F,Y,IHS
422,806298,40,NHB,M,N,IHS
423,984390,40,NHW,F,N,OHS
424,791663,40,NHW,M,N,OHS
425,421520,40,NHW,F,Y,IHS
426,26453,40,NHW,M,Y,IHS
427,499406,40,NHW,F,Y,IHS
428,691247,40,NHW,F,Y,IHS
429,744978,40,NHW,M,Y,OHS
430,550785,40,NHW,F,N,IHS
431,750276,40,NHW,F,Y,IHS
432,660134,40,NHW,F,Y,IHS
433,559187,40,NHW,M,Y,IHS
434,961055,40,NHW,M,Y,IHS
435,671387,40,NHW,M,Y,IHS
436,552253,40,NHB,F,N,IHS
437,877488,40,NHW,M,N,OHS
438,111556,40,NHW,M,Y,OHS
439,304564,40,NHW,F,Y,IHS
440,431014,40,NHW,M,Y,IHS
441,929669,40,NHW,M,Y,IHS
442,55846,40,NHB,F,Y,IHS
443,787963,40,NHW,M,Y,OHS
444,870252,40,NHW,F,Y,IHS
445,224549,40,NHW,M,Y,IHS
446,368209,40,NHW,F,Y,IHS
447,507398,40,NHW,F,Y,IHS
448,245559,40,NHB,F,Y,IHS
449,269048,40,NHW,F,Y,IHS
450,700123,40,NHB,F,Y,IHS
451,70848,40,NHB,F,Y,IHS
452,188628,40,NHW,F,Y,IHS
453,247792,40,NHW,F,Y,IHS
454,792397,40,NHB,F,N,OHS
455,122402,40,NHW,F,Y,IHS
456,932862,40,NHW,F,Y,IHS
457,691286,40,NHW,M,Y,IHS
458,798085,40,NHW,M,Y,IHS
459,729190,40,NHW,F,Y,IHS
460,397930,40,NHW,M,Y,OHS
461,584114,40,NHW,M,Y,IHS
462,65327,40,NHW,M,Y,IHS
463,599736,40,NHW,F,Y,IHS
464,171111,40,NHW,F,Y,IHS
465,414308,40,NHW,F,Y,OHS
466,182036,40,NHW,M,Y,OHS
467,717744,40,NHB,F,N,OHS
468,992621,40,NHW,M,Y,IHS
469,351485,40,NHW,F,Y,IHS
470,942891,40,NHW,F,Y,OHS
471,364527,40,NHW,M,N,IHS
472,318769,40,NHW,F,Y,IHS
473,60156,40,NHW,F,Y,OHS
474,793965,40,NHW,F,N,IHS
475,965723,40,NHW,F,Y,IHS
476,443395,40,NHW,F,Y,IHS
477,183332,40,NHW,M,Y,OHS
478,833583,40,NHW,M,Y,IHS
479,336034,40,NHB,F,Y,IHS
480,373799,40,NHW,F,Y,IHS
481,830178,40,NHW,F,Y,IHS
482,782020,40,NHW,F,Y,IHS
483,22959,40,NHW,M,Y,IHS
484,691003,40,NHB,F,Y,OHS
485,685990,40,NHW,F,Y,IHS
486,206279,40,NHW,F,N,OHS
487,145402,40,NHW,M,Y,OHS
488,269475,40,NHB,F,Y,IHS
489,214391,40,NHW,F,Y,IHS
490,825130,40,NHW,F,Y,IHS
491,416667,40,NHW,F,Y,IHS
492,517131,40,NHW,F,Y,IHS
493,622424,40,NHW,M,N,OHS
494,397593,40,NHW,F,Y,IHS
495,636362,40,NHW,M,Y,IHS
496,316941,40,NHW,F,Y,IHS
497,369341,40,NHW,M,Y,IHS
498,695554,40,NHB,F,Y,OHS
499,138078,40,NHW,F,Y,OHS
500,533684,40,NHW,M,Y,IHS
501,55031,40,NHW,F,Y,IHS
502,904327,40,NHW,F,Y,IHS
503,886803,40,NHW,F,Y,OHS
504,48051,40,NHB,M,N,IHS
505,785838,40,NHB,M,Y,IHS
506,304677,40,NHW,M,Y,IHS
507,788091,40,NHB,M,Y,IHS
508,845658,40,NHW,M,Y,IHS
509,826996,40,NHW,F,Y,IHS
510,193327,40,NHW,F,N,IHS
511,532524,40,NHW,F,N,IHS
512,262094,40,NHW,F,Y,IHS
513,339689,40,NHW,M,Y,IHS
514,61496,40,NHW,F,Y,IHS
515,675734,40,NHW,F,Y,IHS
516,212511,40,NHW,M,Y,IHS
517,187855,40,NHW,M,Y,IHS
518,311394,40,NHB,F,N,IHS
519,771771,40,NHW,F,N,IHS
520,707966,40,NHW,M,N,OHS
521,661796,40,NHW,M,Y,IHS
522,312884,40,NHW,M,N,IHS
523,950833,40,NHW,M,Y,IHS
524,504543,40,NHW,F,Y,IHS
525,526815,40,NHW,F,Y,IHS
526,305582,40,NHW,M,Y,IHS
527,712256,40,NHW,M,Y,IHS
528,424961,40,NHW,F,Y,OHS
529,658656,40,NHB,F,Y,OHS
530,840724,40,NHW,F,Y,IHS
531,492038,40,NHW,M,Y,IHS
532,308899,40,NHW,M,Y,IHS
533,929691,40,NHW,M,Y,IHS
534,166288,40,NHW,M,Y,IHS
535,170119,40,NHB,M,Y,IHS
536,183872,40,NHW,F,Y,IHS
537,877180,40,NHB,M,N,IHS
538,857447,40,NHW,F,Y,IHS
539,378983,40,NHW,F,Y,OHS
540,176597,40,NHB,F,N,IHS
541,938642,40,NHW,M,Y,IHS
542,206673,40,NHW,F,Y,OHS
543,568664,40,NHB,F,Y,IHS
544,274645,40,NHW,F,Y,IHS
545,115499,40,NHW,F,Y,IHS
546,824347,40,NHW,F,Y,OHS
547,116444,40,NHW,F,Y,OHS
548,317922,40,NHB,F,N,OHS
549,316281,40,NHW,M,Y,IHS
550,890463,40,NHW,F,Y,IHS
551,486639,40,NHW,F,Y,IHS
552,866330,40,NHW,M,Y,IHS
553,463021,40,NHW,M,Y,IHS
554,213646,40,NHW,M,Y,IHS
555,621102,40,NHW,M,Y,IHS
556,187575,40,NHW,F,Y,OHS
557,668364,40,NHW,F,Y,IHS
558,744755,40,NHW,F,Y,IHS
559,239455,40,NHW,F,Y,IHS
560,987437,40,NHW,F,N,IHS
561,776281,40,NHW,F,Y,IHS
562,593995,40,NHW,M,N,OHS
563,550221,40,NHW,F,Y,IHS
564,151960,40,NHW,M,Y,IHS
565,872554,40,NHW,F,Y,IHS
566,13451,40,NHW,F,Y,IHS
567,487000,40,NHW,M,Y,IHS
568,600632,40,NHW,M,Y,IHS
569,751421,40,NHW,F,Y,IHS
570,823508,40,NHW,F,N,IHS
571,688144,40,NHW,M,Y,OHS
572,689055,40,NHW,M,N,IHS
573,67271,40,NHW,F,Y,IHS
574,846374,40,NHW,F,Y,IHS
575,611895,40,NHB,F,Y,OHS
576,42700,40,NHW,F,Y,IHS
577,615408,40,NHW,F,N,OHS
578,777785,40,NHW,M,N,IHS
579,910343,40,NHW,F,Y,IHS
580,59702,40,NHW,F,Y,IHS
581,146890,40,NHW,M,Y,IHS
582,918370,40,NHW,M,Y,IHS
583,423658,40,NHB,F,Y,OHS
584,828851,40,NHW,F,Y,IHS
585,201803,40,NHW,F,Y,OHS
586,627394,40,NHW,M,Y,IHS
587,528378,40,NHW,M,Y,IHS
588,173378,40,NHB,F,Y,IHS
589,599302,40,NHW,F,Y,IHS
590,756177,40,NHB,F,Y,IHS
591,654467,40,NHW,F,N,OHS
592,278340,40,NHW,F,Y,IHS
593,777664,40,NHB,M,Y,IHS
594,711593,40,NHW,F,Y,IHS
595,815257,40,NHW,M,Y,IHS
596,880770,40,NHB,F,Y,IHS
597,364798,40,NHW,M,Y,OHS
598,594372,40,NHW,M,Y,IHS
599,194792,40,NHW,F,Y,IHS
600,868356,40,NHW,M,N,OHS
601,930414,40,NHW,F,Y,OHS
602,132326,40,NHW,M,Y,IHS
603,792063,40,NHW,F,Y,OHS
604,333762,40,NHW,M,Y,IHS
605,271334,40,NHW,F,Y,IHS
606,916427,40,NHW,M,Y,OHS
607,236141,40,NHW,M,Y,OHS
608,118295,40,NHB,F,N,IHS
609,871676,40,NHW,F,Y,IHS
610,289038,40,NHW,M,Y,IHS
611,375350,40,NHW,F,Y,OHS
612,300336,40,NHW,F,Y,IHS
613,396225,40,NHW,M,Y,OHS
614,87309,40,NHB,F,N,IHS
615,875602,40,NHW,F,Y,IHS
616,965140,40,NHB,F,N,OHS
617,266294,40,NHW,F,Y,OHS
618,660318,40,NHW,F,Y,IHS
619,820585,40,NHW,M,Y,IHS
620,449578,40,NHB,F,Y,IHS
621,994522,40,NHB,M,Y,IHS
622,672984,40,NHW,M,Y,IHS
623,228537,40,NHW,M,Y,IHS
624,916617,40,NHW,F,N,IHS
625,898298,40,NHB,F,Y,IHS
626,502287,40,NHW,F,Y,IHS
627,93941,40,NHW,M,Y,IHS
628,906501,40,NHW,M,Y,IHS
629,274397,40,NHW,M,Y,IHS
630,592162,40,NHW,F,Y,IHS
631,987190,40,NHW,M,Y,IHS
632,736911,40,NHW,M,Y,OHS
633,207324,40,NHW,M,Y,IHS
634,182045,40,NHW,F,N,IHS
635,116805,40,NHW,M,Y,IHS
636,429767,40,NHB,F,N,OHS
637,148313,40,NHW,M,Y,IHS
638,150252,40,NHW,M,N,IHS
639,853256,40,NHW,M,Y,IHS
640,200938,40,NHW,F,Y,IHS
641,965168,40,NHW,M,N,OHS
642,497749,40,NHW,F,Y,IHS
643,825728,40,NHW,F,N,IHS
644,572701,40,NHW,F,Y,IHS
645,645394,40,NHW,F,Y,IHS
646,339336,40,NHB,F,N,IHS
647,299704,40,NHW,F,Y,IHS
648,683457,40,NHW,M,Y,OHS
649,928496,40,NHB,F,Y,IHS
650,823157,40,NHB,F,Y,OHS
651,447520,40,NHW,M,Y,IHS
652,510839,40,NHW,F,Y,IHS
653,117435,40,NHW,M,Y,IHS
654,525874,40,NHW,M,Y,IHS
655,420092,40,NHW,M,Y,IHS
656,220906,40,NHB,F,Y,IHS
657,130525,40,NHW,F,Y,IHS
658,284188,40,NHW,F,N,IHS
659,994658,40,NHW,M,Y,IHS
660,483103,40,NHW,F,Y,IHS
661,608300,40,NHW,M,Y,IHS
662,550850,40,NHW,F,Y,IHS
663,670426,40,NHW,F,N,IHS
664,421681,40,NHW,F,Y,IHS
665,349977,40,NHW,M,Y,IHS
666,995042,40,NHW,F,Y,IHS
667,935952,40,NHW,M,Y,IHS
668,537604,40,NHW,F,Y,IHS
669,594971,40,NHW,M,Y,IHS
670,617032,40,NHW,F,Y,IHS
671,134483,40,NHW,F,Y,IHS
672,821097,40,NHW,F,Y,IHS
673,845744,40,NHW,M,Y,IHS
674,123774,40,NHW,F,Y,OHS
675,267088,40,NHW,M,Y,IHS
676,76228,40,NHW,F,Y,IHS
677,417331,40,NHW,F,N,IHS
678,330989,40,NHB,M,Y,IHS
679,470387,40,NHW,F,Y,IHS
680,710836,40,NHB,F,Y,IHS
681,684725,40,NHW,F,Y,OHS
682,439474,40,NHW,M,Y,OHS
683,519143,40,NHW,F,Y,IHS
684,103468,40,NHW,F,Y,IHS
685,662212,40,NHW,M,Y,IHS
686,970620,40,NHW,M,Y,OHS
687,763504,40,NHW,M,Y,IHS
688,982635,40,NHW,F,Y,IHS
689,529158,40,NHW,M,Y,IHS
690,948316,40,NHB,F,Y,IHS
691,206079,40,NHW,M,Y,IHS
692,297507,40,NHW,F,Y,IHS
693,629069,40,NHW,M,N,IHS
694,13109,40,NHW,F,Y,IHS
695,879187,40,NHW,F,Y,OHS
696,565172,40,NHW,F,Y,OHS
697,711866,40,NHW,M,Y,IHS
698,127304,40,NHW,M,Y,IHS
699,852794,40,NHW,M,N,IHS
700,750552,40,NHW,F,Y,IHS
701,991507,40,NHW,M,Y,IHS
